s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 2.8654015E+000, 1.5826170E+004,-4.6043476E+003, 1.8683761E+002,-7.1644984E+001,-8.1422325E-001, 0.0000000E+000, 0.0000000E+000, 7.3272070E+003, 1.1336201E+004, 0.0000000E+000, 2.6839407E-001, 0.0000000E+000
 3.0368867E+000, 1.9104970E+004,-3.8900039E+003, 2.5551380E+002,-7.3515941E+001,-8.1742537E-001, 0.0000000E+000, 0.0000000E+000, 1.1383376E+004, 1.5396147E+004, 0.0000000E+000, 2.6890021E-001, 0.0000000E+000
 3.2083716E+000, 1.6366782E+004,-4.6930282E+003, 1.9476821E+002,-7.1419609E+001,-8.2952752E-001, 0.0000000E+000, 0.0000000E+000, 1.5370455E+004, 1.1796273E+004, 0.0000000E+000, 2.6925997E-001, 0.0000000E+000
 3.3499751E+000, 1.7747150E+004,-2.3081788E+003, 2.5584546E+002,-6.9740323E+001,-8.2855944E-001, 0.0000000E+000, 0.0000000E+000, 1.1848561E+004, 1.5624248E+004, 0.0000000E+000, 2.6947708E-001, 0.0000000E+000
 3.4915786E+000, 1.6851303E+004,-3.1118864E+003, 2.2698887E+002,-6.5861728E+001,-8.3109514E-001, 0.0000000E+000, 0.0000000E+000, 1.5630593E+004, 1.3899713E+004, 0.0000000E+000, 2.6964075E-001, 0.0000000E+000
 3.6331823E+000, 1.9065138E+004,-2.5025884E+003, 2.7082731E+002,-6.4425928E+001,-8.3622066E-001, 0.0000000E+000, 0.0000000E+000, 1.3994262E+004, 1.6768115E+004, 0.0000000E+000, 2.6976413E-001, 0.0000000E+000
 3.7487681E+000, 1.8067184E+004,-2.9682842E+003, 2.4933673E+002,-6.2816428E+001,-8.4167746E-001, 0.0000000E+000, 0.0000000E+000, 1.6749672E+004, 1.5284578E+004, 0.0000000E+000, 2.6984194E-001, 0.0000000E+000
 3.8643539E+000, 1.7209359E+004,-1.6713636E+003, 2.5451871E+002,-6.2288690E+001,-8.4336941E-001, 0.0000000E+000, 0.0000000E+000, 1.5279878E+004, 1.5729382E+004, 0.0000000E+000, 2.6990371E-001, 0.0000000E+000
 3.9799397E+000, 1.6128453E+004,-2.1651532E+003, 2.2877219E+002,-6.1160274E+001,-8.4414261E-001, 0.0000000E+000, 0.0000000E+000, 1.5728367E+004, 1.4130067E+004, 0.0000000E+000, 2.6995273E-001, 0.0000000E+000
 4.0955257E+000, 1.5480683E+004,-1.7952980E+002, 2.4924690E+002,-6.0644329E+001,-8.4461026E-001, 0.0000000E+000, 0.0000000E+000, 1.4128744E+004, 1.5488911E+004, 0.0000000E+000, 2.6999165E-001, 0.0000000E+000
 4.1981711E+000, 1.5058760E+004,-1.4309417E+001, 2.4418031E+002,-5.9378961E+001,-8.4465504E-001, 0.0000000E+000, 0.0000000E+000, 1.5484207E+004, 1.5228408E+004, 0.0000000E+000, 2.7001942E-001, 0.0000000E+000
 4.3008165E+000, 1.4551210E+004,-1.1767196E+002, 2.3325523E+002,-5.8500397E+001,-8.4402764E-001, 0.0000000E+000, 0.0000000E+000, 1.5221595E+004, 1.4607449E+004, 0.0000000E+000, 2.7004204E-001, 0.0000000E+000
 4.4034619E+000, 1.4089923E+004,-1.8742009E+003, 1.9540416E+002,-5.7771479E+001,-8.4251127E-001, 0.0000000E+000, 0.0000000E+000, 1.4601172E+004, 1.2352512E+004, 0.0000000E+000, 2.7006047E-001, 0.0000000E+000
 4.5061073E+000, 1.3571374E+004,-1.4884719E+003, 1.9196376E+002,-5.6903938E+001,-8.4266360E-001, 0.0000000E+000, 0.0000000E+000, 1.2346490E+004, 1.2217120E+004, 0.0000000E+000, 2.7007547E-001, 0.0000000E+000
 4.6087527E+000, 1.3137279E+004,-6.1276551E+002, 1.9816519E+002,-5.6323809E+001,-8.4421914E-001, 0.0000000E+000, 0.0000000E+000, 1.2210702E+004, 1.2665511E+004, 0.0000000E+000, 2.7008770E-001, 0.0000000E+000
